year,household,level,number,pct
2010,37671,poverty_household,3899,10.350136709936026
2012,38374,poverty_household,3719,9.691457757856883
2014,39568,poverty_household,4753,12.012232106752933
2016,40318,poverty_household,2887,7.1605734411429145
2018,41956,poverty_household,3655,8.711507293354943
2010,37671,alice_household,11107,29.484218629715166
2012,38374,alice_household,11235,29.27763589930682
2014,39568,alice_household,12722,32.15224423776789
2016,40318,alice_household,16941,42.01845329629446
2018,41956,alice_household,15430,36.77662312899228
2010,37671,above_alice_household,22665,60.165644660348804
2012,38374,above_alice_household,23420,61.0309063428363
2014,39568,above_alice_household,22093,55.83552365547918
2016,40318,above_alice_household,20490,50.82097326256263
2018,41956,above_alice_household,22871,54.51186957765278
