Race,Sex,degree,percent
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Bachelor's degree or higher,19.428571428571427
ASIAN ALONE,All,Bachelor's degree or higher,70.51056338028168
BLACK OR AFRICAN AMERICAN ALONE,All,Bachelor's degree or higher,19.19332406119611
HISPANIC OR LATINO,All,Bachelor's degree or higher,32.43833905713394
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Bachelor's degree or higher,39.02439024390244
SOME OTHER RACE ALONE,All,Bachelor's degree or higher,18.5
TWO OR MORE RACES,All,Bachelor's degree or higher,57.48987854251012
WHITE ALONE,All,Bachelor's degree or higher,58.381879129104696
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Bachelor's degree or higher,59.47753573859769
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Bachelor's degree or higher,7.954545454545454
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Bachelor's degree or higher,31.03448275862069
ASIAN ALONE,Female,Bachelor's degree or higher,64.92204899777283
ASIAN ALONE,Male,Bachelor's degree or higher,76.73697270471465
BLACK OR AFRICAN AMERICAN ALONE,Female,Bachelor's degree or higher,15.895372233400401
BLACK OR AFRICAN AMERICAN ALONE,Male,Bachelor's degree or higher,23.02807486631016
HISPANIC OR LATINO,Female,Bachelor's degree or higher,31.979368149580917
HISPANIC OR LATINO,Male,Bachelor's degree or higher,32.86924939467312
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Bachelor's degree or higher,39.02439024390244
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Bachelor's degree or higher,NA
SOME OTHER RACE ALONE,Female,Bachelor's degree or higher,3.5211267605633805
SOME OTHER RACE ALONE,Male,Bachelor's degree or higher,26.744186046511626
TWO OR MORE RACES,Female,Bachelor's degree or higher,53.65853658536586
TWO OR MORE RACES,Male,Bachelor's degree or higher,61.97802197802198
WHITE ALONE,Female,Bachelor's degree or higher,59.015086471237574
WHITE ALONE,Male,Bachelor's degree or higher,57.66590389016019
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Bachelor's degree or higher,60.097137014314924
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Bachelor's degree or higher,58.77148266822022
All,Female,Bachelor's degree or higher,56.72929072660684
All,Male,Bachelor's degree or higher,56.216659827656954
All,All,Bachelor's degree or higher,56.4885100074129
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,High school graduate,41.714285714285715
ASIAN ALONE,All,High school graduate,8.245305164319248
BLACK OR AFRICAN AMERICAN ALONE,All,High school graduate,24.370267346623397
HISPANIC OR LATINO,All,High school graduate,22.635029659694037
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,High school graduate,0
SOME OTHER RACE ALONE,All,High school graduate,24.75
TWO OR MORE RACES,All,High school graduate,13.562753036437247
WHITE ALONE,All,High school graduate,15.180460181599246
"WHITE ALONE, NOT HISPANIC OR LATINO",All,High school graduate,14.877467665078283
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,High school graduate,34.090909090909086
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,High school graduate,49.42528735632184
ASIAN ALONE,Female,High school graduate,8.518930957683741
ASIAN ALONE,Male,High school graduate,7.94044665012407
BLACK OR AFRICAN AMERICAN ALONE,Female,High school graduate,25.7257832710549
BLACK OR AFRICAN AMERICAN ALONE,Male,High school graduate,22.794117647058822
HISPANIC OR LATINO,Female,High school graduate,24.113475177304963
HISPANIC OR LATINO,Male,High school graduate,21.246973365617432
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,High school graduate,0
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,High school graduate,NA
SOME OTHER RACE ALONE,Female,High school graduate,32.3943661971831
SOME OTHER RACE ALONE,Male,High school graduate,20.54263565891473
TWO OR MORE RACES,Female,High school graduate,13.320825515947469
TWO OR MORE RACES,Male,High school graduate,13.846153846153847
WHITE ALONE,Female,High school graduate,15.239789034711148
WHITE ALONE,Male,High school graduate,15.113376326190972
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,High school graduate,14.893277096114518
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,High school graduate,14.859452374016897
All,Female,High school graduate,15.656014985042916
All,Male,High school graduate,15.403554180739246
All,All,High school graduate,15.537435137138623
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Less than high school diploma,9.714285714285714
ASIAN ALONE,All,Less than high school diploma,10.710093896713616
BLACK OR AFRICAN AMERICAN ALONE,All,Less than high school diploma,16.47349714109102
HISPANIC OR LATINO,All,Less than high school diploma,23.35310646269123
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Less than high school diploma,60.97560975609756
SOME OTHER RACE ALONE,All,Less than high school diploma,37
TWO OR MORE RACES,All,Less than high school diploma,7.6923076923076925
WHITE ALONE,All,Less than high school diploma,6.658638982002799
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Less than high school diploma,5.9598366235534375
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Less than high school diploma,11.363636363636363
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Less than high school diploma,8.045977011494253
ASIAN ALONE,Female,Less than high school diploma,12.694877505567929
ASIAN ALONE,Male,Less than high school diploma,8.498759305210918
BLACK OR AFRICAN AMERICAN ALONE,Female,Less than high school diploma,14.774360448404714
BLACK OR AFRICAN AMERICAN ALONE,Male,Less than high school diploma,18.449197860962567
HISPANIC OR LATINO,Female,Less than high school diploma,21.147646679561575
HISPANIC OR LATINO,Male,Less than high school diploma,25.423728813559322
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Less than high school diploma,60.97560975609756
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Less than high school diploma,NA
SOME OTHER RACE ALONE,Female,Less than high school diploma,32.3943661971831
SOME OTHER RACE ALONE,Male,Less than high school diploma,39.53488372093023
TWO OR MORE RACES,Female,Less than high school diploma,2.6266416510318953
TWO OR MORE RACES,Male,Less than high school diploma,13.626373626373626
WHITE ALONE,Female,Less than high school diploma,4.602600269839323
WHITE ALONE,Male,Less than high school diploma,8.983426946813674
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Less than high school diploma,3.927019427402863
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Less than high school diploma,8.276288960093213
All,Female,Less than high school diploma,5.444658782744835
All,Male,Less than high school diploma,9.696663615416181
All,All,Less than high school diploma,7.441808747220163
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Some college or associate's degree,29.142857142857142
ASIAN ALONE,All,Some college or associate's degree,10.534037558685446
BLACK OR AFRICAN AMERICAN ALONE,All,Some college or associate's degree,39.962911451089475
HISPANIC OR LATINO,All,Some college or associate's degree,21.5735248204808
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Some college or associate's degree,0
SOME OTHER RACE ALONE,All,Some college or associate's degree,19.75
TWO OR MORE RACES,All,Some college or associate's degree,21.25506072874494
WHITE ALONE,All,Some college or associate's degree,19.77902170729326
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Some college or associate's degree,19.68515997277059
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Some college or associate's degree,46.590909090909086
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Some college or associate's degree,11.494252873563218
ASIAN ALONE,Female,Some college or associate's degree,13.864142538975502
ASIAN ALONE,Male,Some college or associate's degree,6.823821339950372
BLACK OR AFRICAN AMERICAN ALONE,Female,Some college or associate's degree,43.604484047139984
BLACK OR AFRICAN AMERICAN ALONE,Male,Some college or associate's degree,35.72860962566845
HISPANIC OR LATINO,Female,Some college or associate's degree,22.759509993552545
HISPANIC OR LATINO,Male,Some college or associate's degree,20.46004842615012
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Some college or associate's degree,0
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Some college or associate's degree,NA
SOME OTHER RACE ALONE,Female,Some college or associate's degree,31.690140845070424
SOME OTHER RACE ALONE,Male,Some college or associate's degree,13.178294573643413
TWO OR MORE RACES,Female,Some college or associate's degree,30.393996247654787
TWO OR MORE RACES,Male,Some college or associate's degree,10.54945054945055
WHITE ALONE,Female,Some college or associate's degree,21.142524224211947
WHITE ALONE,Male,Some college or associate's degree,18.23729283683517
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Some college or associate's degree,21.08256646216769
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Some college or associate's degree,18.092775997669676
All,Female,Some college or associate's degree,22.170035505605412
All,Male,Some college or associate's degree,18.68312237618762
All,All,Some college or associate's degree,20.532246108228318
