geoid,denom,Burdened,Severely Burdened,Not Burdened,total_renting,total_households,Renting,county_type
51540000201,688,0.26453488372093026,0.2805232558139535,0.45494186046511625,758,1134,0.6684303350970018,Census Tracts
51540000202,901,0.19311875693673697,0.562708102108768,0.244173140954495,1116,1426,0.782608695652174,Census Tracts
51540000302,746,0.2386058981233244,0.20777479892761394,0.5536193029490617,764,1411,0.5414599574769667,Census Tracts
51540000401,868,0.4182027649769585,0.17626728110599077,0.4055299539170507,877,1563,0.5611004478566859,Census Tracts
51540000402,883,0.34428086070215175,0.1970554926387316,0.45866364665911663,1021,2339,0.4365113296280462,Census Tracts
51540000501,892,0.2825112107623318,0.29596412556053814,0.42152466367713004,941,1455,0.6467353951890035,Census Tracts
51540000502,1212,0.21617161716171618,0.056105610561056105,0.7277227722772277,1233,2187,0.5637860082304527,Census Tracts
51540000600,898,0.2873051224944321,0.47216035634743875,0.24053452115812918,1076,1161,0.9267872523686477,Census Tracts
51540000700,712,0.23595505617977527,0.37359550561797755,0.3904494382022472,820,1645,0.49848024316109424,Census Tracts
51540000800,629,0.13354531001589826,0.41017488076311603,0.4562798092209857,637,1634,0.3898408812729498,Census Tracts
51540000900,319,0.1536050156739812,0.06583072100313479,0.780564263322884,338,1042,0.32437619961612285,Census Tracts
51540001000,989,0.2295247724974722,0.19514661274014156,0.5753286147623863,1059,1620,0.6537037037037037,Census Tracts
