sex,age_group,estimate
Female,10 to 14 years,875
Female,15 to 19 years,1587
Female,20 to 24 years,3795
Female,25 to 34 years,4863
Female,35 to 44 years,2886
Female,45 to 54 years,2530
Female,5 to 9 years,959
Female,55 to 59 years,1243
Female,60 to 64 years,1246
Female,65 to 74 years,1800
Female,75 to 84 years,750
Female,85 years and over,534
Female,Under 5 years,1240
Male,10 to 14 years,1179
Male,15 to 19 years,1618
Male,20 to 24 years,3433
Male,25 to 34 years,4714
Male,35 to 44 years,2880
Male,45 to 54 years,2365
Male,5 to 9 years,928
Male,55 to 59 years,1448
Male,60 to 64 years,855
Male,65 to 74 years,1426
Male,75 to 84 years,667
Male,85 years and over,149
Male,Under 5 years,1126
