GEOID,bac_deg,grad_deg,hs_grad,pers_earn,life_exp,school_enroll,ahdi_health,ahdi_ed_attainment,ahdi_ed_enroll,ahdi_ed,ahdi_income,ahdi
51540000201,58.4,30.8,91.1,27212,78.7,85,5.291666666666668,8.686666666666666,7.142857142857143,8.172063492063492,3.166745836515891,5.543491998415351
51540000202,39.5,15.3,86.9,7885,NA,89.6,NA,6.113333333333335,8.457142857142856,6.894603174603175,-5.421047654425408,NA
51540000302,55.3,30.4,96.4,38271,80.4,71.9,6.000000000000002,8.806666666666667,3.4000000000000012,7.004444444444445,5.5311138475701895,6.178519430671545
51540000401,37.6,16.3,87.2,34750,73.7,83.6,3.208333333333335,6.073333333333334,6.742857142857142,6.296507936507936,4.861996808897102,4.7889460262461245
51540000402,40.7,20.9,85.3,43154,76.3,90.4,4.291666666666665,6.46,8.685714285714287,7.201904761904762,6.363638882702473,5.952403437091301
51540000501,32,14.4,83,32325,76.4,83.7,4.333333333333336,5.293333333333333,6.771428571428572,5.786031746031746,4.360477913944893,4.8266143311033245
51540000502,63.4,32.3,93,50118,79.8,78.8,5.749999999999998,9.246666666666666,5.37142857142857,7.954920634920635,7.400840892101064,7.035253842340566
51540000600,58,32.4,96,10545,NA,93.5,NA,9.093333333333334,9.571428571428571,9.252698412698413,-3.405716582461211,NA
51540000700,87.9,50.6,99,22260,82.6,96,6.916666666666664,12.5,10.285714285714285,11.761904761904763,1.7741506964234224,6.81757404166495
51540000800,57.3,30.7,91.7,36912,79.4,77.4,5.583333333333336,8.6466666666666665,4.971428571428573,7.4215873015873015,5.280448659425115,6.095123098115251
51540000900,60.3,27.8,94.3,51875,81.3,89.8,6.374999999999998,8.826666666666666,8.514285714285712,8.722539682539681,7.639727208004307,7.579088963514661
51540001000,78.3,44.5,96.2,45975,82.5,70.4,6.875,11.266666666666667,2.9714285714285733,8.501587301587303,6.802650535717253,7.393079279101518
