GEOID,bac,less,tot,perc_bac
51540000201,1106,789,1895,58.364116094986805
51540000202,601,921,1522,39.48751642575559
51540000302,1273,1028,2301,55.32377227292482
51540000401,1213,2014,3227,37.5890920359467
51540000402,1561,2272,3833,40.72528045917036
51540000501,879,1868,2747,31.99854386603568
51540000502,2513,1450,3963,63.41155690133738
51540000600,681,493,1174,58.006814310051105
51540000700,2144,294,2438,87.94093519278097
51540000800,1749,1305,3054,57.26915520628684
51540000900,1110,730,1840,60.32608695652174
51540001000,1849,513,2362,78.28111769686707
