Race,Sex,degree,percent
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Bachelor's degree or higher,33.33333333333333
ASIAN ALONE,All,Bachelor's degree or higher,41.62679425837321
BLACK OR AFRICAN AMERICAN ALONE,All,Bachelor's degree or higher,20.518358531317496
HISPANIC OR LATINO,All,Bachelor's degree or higher,30.79584775086505
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Bachelor's degree or higher,100
SOME OTHER RACE ALONE,All,Bachelor's degree or higher,6.493506493506493
TWO OR MORE RACES,All,Bachelor's degree or higher,41.95804195804196
WHITE ALONE,All,Bachelor's degree or higher,36.044094488188975
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Bachelor's degree or higher,36.15742535866615
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Bachelor's degree or higher,33.33333333333333
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Bachelor's degree or higher,NA
ASIAN ALONE,Female,Bachelor's degree or higher,43.83561643835616
ASIAN ALONE,Male,Bachelor's degree or higher,36.507936507936506
BLACK OR AFRICAN AMERICAN ALONE,Female,Bachelor's degree or higher,27.011156782149147
BLACK OR AFRICAN AMERICAN ALONE,Male,Bachelor's degree or higher,10.232558139534884
HISPANIC OR LATINO,Female,Bachelor's degree or higher,34.08360128617363
HISPANIC OR LATINO,Male,Bachelor's degree or higher,26.96629213483146
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Bachelor's degree or higher,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Bachelor's degree or higher,100
SOME OTHER RACE ALONE,Female,Bachelor's degree or higher,0
SOME OTHER RACE ALONE,Male,Bachelor's degree or higher,13.513513513513514
TWO OR MORE RACES,Female,Bachelor's degree or higher,54.054054054054056
TWO OR MORE RACES,Male,Bachelor's degree or higher,0
WHITE ALONE,Female,Bachelor's degree or higher,36.44116630171718
WHITE ALONE,Male,Bachelor's degree or higher,35.56543484301195
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Bachelor's degree or higher,36.42595437891502
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Bachelor's degree or higher,35.83345216027378
All,Female,Bachelor's degree or higher,35.75293517100562
All,Male,Bachelor's degree or higher,33.739759954277005
All,All,Bachelor's degree or higher,34.855816849194895
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,High school graduate,0
ASIAN ALONE,All,High school graduate,16.267942583732058
BLACK OR AFRICAN AMERICAN ALONE,All,High school graduate,39.09287257019439
HISPANIC OR LATINO,All,High school graduate,30.79584775086505
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,High school graduate,0
SOME OTHER RACE ALONE,All,High school graduate,46.75324675324675
TWO OR MORE RACES,All,High school graduate,5.594405594405594
WHITE ALONE,All,High school graduate,21.91496062992126
"WHITE ALONE, NOT HISPANIC OR LATINO",All,High school graduate,21.57166860540261
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,High school graduate,0
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,High school graduate,NA
ASIAN ALONE,Female,High school graduate,11.643835616438356
ASIAN ALONE,Male,High school graduate,26.984126984126984
BLACK OR AFRICAN AMERICAN ALONE,Female,High school graduate,26.071638285378747
BLACK OR AFRICAN AMERICAN ALONE,Male,High school graduate,59.720930232558146
HISPANIC OR LATINO,Female,High school graduate,22.508038585209004
HISPANIC OR LATINO,Male,High school graduate,40.44943820224719
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,High school graduate,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,High school graduate,0
SOME OTHER RACE ALONE,Female,High school graduate,90
SOME OTHER RACE ALONE,Male,High school graduate,0
TWO OR MORE RACES,Female,High school graduate,2.2522522522522523
TWO OR MORE RACES,Male,High school graduate,17.1875
WHITE ALONE,Female,High school graduate,17.85179209404172
WHITE ALONE,Male,High school graduate,26.81300361211448
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,High school graduate,17.91750384115353
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,High school graduate,25.980322258662486
All,Female,High school graduate,18.56559469116896
All,Male,High school graduate,28.76738426366927
All,All,High school graduate,23.111752553980246
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Less than high school diploma,66.66666666666666
ASIAN ALONE,All,Less than high school diploma,22.00956937799043
BLACK OR AFRICAN AMERICAN ALONE,All,Less than high school diploma,13.678905687544995
HISPANIC OR LATINO,All,Less than high school diploma,24.74048442906574
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Less than high school diploma,0
SOME OTHER RACE ALONE,All,Less than high school diploma,5.194805194805195
TWO OR MORE RACES,All,Less than high school diploma,9.44055944055944
WHITE ALONE,All,Less than high school diploma,7.829921259842519
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Less than high school diploma,7.444746025591314
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Less than high school diploma,66.66666666666666
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Less than high school diploma,NA
ASIAN ALONE,Female,Less than high school diploma,15.753424657534246
ASIAN ALONE,Male,Less than high school diploma,36.507936507936506
BLACK OR AFRICAN AMERICAN ALONE,Female,Less than high school diploma,12.448620082207869
BLACK OR AFRICAN AMERICAN ALONE,Male,Less than high school diploma,15.627906976744185
HISPANIC OR LATINO,Female,Less than high school diploma,34.08360128617363
HISPANIC OR LATINO,Male,Less than high school diploma,13.857677902621724
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Less than high school diploma,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Less than high school diploma,0
SOME OTHER RACE ALONE,Female,Less than high school diploma,10
SOME OTHER RACE ALONE,Male,Less than high school diploma,0
TWO OR MORE RACES,Female,Less than high school diploma,12.162162162162163
TWO OR MORE RACES,Male,Less than high school diploma,0
WHITE ALONE,Female,Less than high school diploma,8.113403249971189
