year,household,level,number,pct
2010,6709,poverty_household,596,8.88358920852586
2012,6884,poverty_household,564,8.19291109819872
2014,6965,poverty_household,625,8.973438621679827
2016,7107,poverty_household,648,9.117771211481637
2018,7357,poverty_household,458,6.225363599293191
2010,6709,alice_household,2047,30.511253540020867
2012,6884,alice_household,2169,31.50784427658338
2014,6965,alice_household,2538,36.439339554917446
2016,7107,alice_household,2554,35.936400731673
2018,7357,alice_household,2706,36.78129672420823
2010,6709,above_alice_household,4066,60.60515725145327
2012,6884,above_alice_household,4151,60.299244625217895
2014,6965,above_alice_household,3802,54.58722182340273
2016,7107,above_alice_household,3905,54.94582805684536
2018,7357,above_alice_household,4193,56.99333967649858
