year,race,Median Household Income,ALICE Threshold
2010,Overall,54307,45000
2010,White,55846,45000
2010,Black Or African American,35341,45000
2010,American Indian And Alaska Native,NA,45000
2010,Asian,48274,45000
2010,Native Hawaiian And Other Pacific Islander,NA,45000
2010,Some Other Race,27277,45000
2010,Two Or More Races,36120,45000
2010,"White , Not Hispanic Or Latino",56190,45000
2010,Hispanic Or Latino,31405,45000
2012,Overall,58804,50000
2012,White,62572,50000
2012,Black Or African American,32434,50000
2012,American Indian And Alaska Native,NA,50000
2012,Asian,54006,50000
2012,Native Hawaiian And Other Pacific Islander,NA,50000
2012,Some Other Race,NA,50000
2012,Two Or More Races,36167,50000
2012,"White , Not Hispanic Or Latino",62707,50000
2012,Hispanic Or Latino,33974,50000
2014,Overall,63739,60000
2014,White,66004,60000
2014,Black Or African American,34531,60000
2014,American Indian And Alaska Native,NA,60000
2014,Asian,97750,60000
2014,Native Hawaiian And Other Pacific Islander,NA,60000
2014,Some Other Race,NA,60000
2014,Two Or More Races,38988,60000
2014,"White , Not Hispanic Or Latino",65556,60000
2014,Hispanic Or Latino,86406,60000
2016,Overall,61615,60000
2016,White,62885,60000
2016,Black Or African American,40769,60000
2016,American Indian And Alaska Native,NA,60000
2016,Asian,142609,60000
2016,Native Hawaiian And Other Pacific Islander,NA,60000
2016,Some Other Race,NA,60000
2016,Two Or More Races,80921,60000
2016,"White , Not Hispanic Or Latino",63083,60000
2016,Hispanic Or Latino,50469,60000
2018,Overall,64979,60000
2018,White,65126,60000
2018,Black Or African American,62250,60000
2018,American Indian And Alaska Native,NA,60000
2018,Asian,132639,60000
2018,Native Hawaiian And Other Pacific Islander,NA,60000
2018,Some Other Race,107870,60000
2018,Two Or More Races,83038,60000
2018,"White , Not Hispanic Or Latino",64716,60000
2018,Hispanic Or Latino,71767,60000
