category,final_level,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HISPANIC OR LATINO AND RACE,Hispanic or Latino (of any race),3.9,4.1,4.3,4.4,4.6,4.9,5.2,5.7,5.9,5.9
HISPANIC OR LATINO AND RACE,Not Hispanic or Latino,96.1,95.9,95.7,95.6,95.4,95.1,94.8,94.3,94.1,94.1
HISPANIC OR LATINO AND RACE,Total population,18082,18291,18453,18577,18766,18938,19085,19213,19410,19519
RACE,American Indian and Alaska Native,0,0,0,0,0,0,0,0.2,0.2,0.2
RACE,Asian,1,1,1,0.9,1.3,1.2,1.4,1.3,1.5,1.7
RACE,Black or African American,6.9,7.3,6.7,6.3,6.7,6.6,6.3,6.1,5.8,5.4
RACE,Native Hawaiian and Other Pacific Islander,0,0,0.1,0.2,0.1,0.2,0.2,0,0,0
RACE,Some other race,1.6,1.9,1,1.7,0.2,1,0.9,2.2,2,2
RACE,Two or more races,1.6,1.4,1.9,2.8,2.2,2.5,2.7,3.3,3.5,4
RACE,White,88.9,88.4,89.2,88.2,89.4,88.4,88.5,87,87,86.7
SEX AND AGE,10 to 14 years,7.3,7,7.1,6.4,5.8,5.8,5.9,5.8,5.7,6.5
SEX AND AGE,15 to 19 years,6.3,6.1,6.2,5.8,5.3,5.8,6.3,6.3,6.7,6.7
SEX AND AGE,20 to 24 years,4.9,5,4.8,5.3,4.9,5,4.5,4.5,4.2,4.4
SEX AND AGE,25 to 34 years,13.1,13,12.7,12,13.3,13.1,12.7,13.5,13.2,13
SEX AND AGE,35 to 44 years,15.1,14.4,13.7,13.6,13,12.7,12.6,12.2,12.1,12.2
SEX AND AGE,45 to 54 years,14.8,15,15.6,15.5,15.1,15,14.9,14.1,14.6,14
SEX AND AGE,5 to 9 years,7.3,7.4,7,7.1,7.7,8,7.8,8.3,8.1,7.3
SEX AND AGE,55 to 59 years,6.8,6.7,5.8,6.1,6.2,5.9,6.3,6.5,6.4,6.2
SEX AND AGE,60 to 64 years,5.5,5.4,6.5,6.5,6.7,7.1,7.1,7,7.1,7.5
SEX AND AGE,65 to 74 years,7.6,7.9,8.4,8.7,9.1,9.3,9.9,9.9,10.2,10.4
SEX AND AGE,75 to 84 years,3.9,3.9,4,3.6,3.4,3.5,3.5,3.9,4.4,4.8
SEX AND AGE,85 years and over,0.7,1.1,1.1,1.7,2,2.1,2,1.8,1.6,1.3
SEX AND AGE,Female,50,50,50,50.8,50.7,51.2,51.2,51.1,51.3,51.1
SEX AND AGE,Male,50,50,50,49.2,49.3,48.8,48.8,48.9,48.7,48.9
SEX AND AGE,Total population,18082,18291,18453,18577,18766,18938,19085,19213,19410,19519
SEX AND AGE,Under 5 years,6.7,6.8,7.1,7.7,7.6,6.6,6.6,6.1,5.7,5.7
