year,household,level,number,pct
2010,13406,poverty_household,1243,9.271967775622855
2012,12728,poverty_household,956,7.510999371464487
2014,12811,poverty_household,1162,9.070330184997268
2016,13146,poverty_household,1508,11.47116993762361
2018,13575,poverty_household,1691,12.456721915285451
2010,13406,alice_household,2969,22.146799940325227
2012,12728,alice_household,3049,23.955059710873662
2014,12811,alice_household,3267,25.501522129420028
2016,13146,alice_household,3506,26.669709417313253
2018,13575,alice_household,3453,25.43646408839779
2010,13406,above_alice_household,9194,68.58123228405192
2012,12728,above_alice_household,8723,68.53394091766185
2014,12811,above_alice_household,8382,65.4281476855827
2016,13146,above_alice_household,8132,61.859120645063136
2018,13575,above_alice_household,8431,62.10681399631676
