year,race,Median Household Income,ALICE Threshold
2010,Overall,54257,35000
2010,White,60835,35000
2010,Black Or African American,35008,35000
2010,American Indian And Alaska Native,46635,35000
2010,Asian,64036,35000
2010,Native Hawaiian And Other Pacific Islander,NA,35000
2010,Some Other Race,93083,35000
2010,Two Or More Races,73947,35000
2010,"White , Not Hispanic Or Latino",60765,35000
2010,Hispanic Or Latino,96319,35000
2012,Overall,55765,40000
2012,White,61574,40000
2012,Black Or African American,38855,40000
2012,American Indian And Alaska Native,19050,40000
2012,Asian,65278,40000
2012,Native Hawaiian And Other Pacific Islander,NA,40000
2012,Some Other Race,98836,40000
2012,Two Or More Races,63846,40000
2012,"White , Not Hispanic Or Latino",61859,40000
2012,Hispanic Or Latino,64615,40000
2014,Overall,57126,45000
2014,White,59804,45000
2014,Black Or African American,43318,45000
2014,American Indian And Alaska Native,40208,45000
2014,Asian,102891,45000
2014,Native Hawaiian And Other Pacific Islander,NA,45000
2014,Some Other Race,53456,45000
2014,Two Or More Races,56397,45000
2014,"White , Not Hispanic Or Latino",60230,45000
2014,Hispanic Or Latino,47156,45000
2016,Overall,54662,45000
2016,White,57696,45000
2016,Black Or African American,41138,45000
2016,American Indian And Alaska Native,30625,45000
2016,Asian,106053,45000
2016,Native Hawaiian And Other Pacific Islander,NA,45000
2016,Some Other Race,26719,45000
2016,Two Or More Races,50724,45000
2016,"White , Not Hispanic Or Latino",57996,45000
2016,Hispanic Or Latino,42723,45000
2018,Overall,59343,50000
2018,White,63421,50000
2018,Black Or African American,51209,50000
2018,American Indian And Alaska Native,NA,50000
2018,Asian,160625,50000
2018,Native Hawaiian And Other Pacific Islander,NA,50000
2018,Some Other Race,38494,50000
2018,Two Or More Races,35357,50000
2018,"White , Not Hispanic Or Latino",63952,50000
2018,Hispanic Or Latino,39432,50000
