year,household,level,number,pct
2010,6534,poverty_household,769,11.769207223752678
2012,6415,poverty_household,739,11.51987529228371
2014,6381,poverty_household,962,15.076006895470929
2016,6378,poverty_household,865,13.562245217936658
2018,6445,poverty_household,815,12.645461598138091
2010,6534,alice_household,1503,23.002754820936637
2012,6415,alice_household,1858,28.963367108339828
2014,6381,alice_household,1770,27.738598965679362
2016,6378,alice_household,2101,32.941360928190655
2018,6445,alice_household,1744,27.059736229635377
2010,6534,above_alice_household,4262,65.22803795531068
2012,6415,above_alice_household,3818,59.516757599376454
2014,6381,above_alice_household,3649,57.18539413884971
2016,6378,above_alice_household,3412,53.49639385387269
2018,6445,above_alice_household,3886,60.29480217222654
